modis_date,calendar_date,band,value_center,value_min,value_max,value_sum,value_range,value_mean,value_variance,value_stddev,pixels_total,pixels_pass,pixels_pass_rel,proc_date
A2000049,2000-02-18,250m_16_days_NDVI,0.5208,0.1818,0.9176,583.721,0.7358,0.5785,0.018,0.1342,1089,1009,92.65,2015136104714
A2000065,2000-03-05,250m_16_days_NDVI,0.4918,0.1212,0.9032,518.3952,0.782,0.5556,0.0192,0.1386,1089,933,85.67,2015136023003
A2000081,2000-03-21,250m_16_days_NDVI,0.4517,0.1253,0.8905,611.3099,0.7652,0.5655,0.0211,0.1451,1089,1081,99.27,2015136040319
A2000097,2000-04-06,250m_16_days_NDVI,0.4842,0.1662,0.8452,624.8373,0.679,0.5738,0.0227,0.1506,1089,1089,100,2015136040607
A2000113,2000-04-22,250m_16_days_NDVI,0.4945,0.2004,0.9248,635.6945,0.7244,0.5881,0.0213,0.1461,1089,1081,99.27,2015137040224
A2000129,2000-05-08,250m_16_days_NDVI,0.4968,0.2367,0.9655,650.5809,0.7288,0.6018,0.0172,0.1311,1089,1081,99.27,2015137051757
A2000145,2000-05-24,250m_16_days_NDVI,0.6312,0.2361,0.8275,547.5159,0.5914,0.5945,0.0178,0.1336,1089,921,84.57,2015137100904
A2000161,2000-06-09,250m_16_days_NDVI,0.5538,0.2041,0.906,648.7756,0.7019,0.5979,0.019,0.1379,1089,1085,99.63,2015137044439
A2000177,2000-06-25,250m_16_days_NDVI,0.4623,0.1898,0.895,589.3497,0.7052,0.5661,0.0191,0.1381,1089,1041,95.59,2015138072930
A2000193,2000-07-11,250m_16_days_NDVI,0.5748,0.2225,0.9,622.5328,0.6775,0.5727,0.017,0.1306,1089,1087,99.82,2015138075210
A2000209,2000-07-27,250m_16_days_NDVI,0.4809,0.1535,0.8981,500.4739,0.7446,0.5364,0.0188,0.137,1089,933,85.67,2015138075424
A2000225,2000-08-12,250m_16_days_NDVI,0.4759,0.201,0.9189,602.4169,0.7179,0.5656,0.0179,0.134,1089,1065,97.8,2015138073827
A2000241,2000-08-28,250m_16_days_NDVI,0.4677,0.1793,0.9345,567.3981,0.7552,0.5451,0.0186,0.1364,1089,1041,95.59,2015138080642
A2000257,2000-09-13,250m_16_days_NDVI,0.4591,0.1237,0.8522,468.2395,0.7285,0.4976,0.0161,0.1269,1089,941,86.41,2015139074751
A2000273,2000-09-29,250m_16_days_NDVI,0.4369,0.1418,0.9929,495.4026,0.8511,0.491,0.0181,0.1346,1089,1009,92.65,2015139075145
A2000289,2000-10-15,250m_16_days_NDVI,0.4122,0.1533,0.824,560.9103,0.6707,0.5151,0.0178,0.1335,1089,1089,100,2015139084039
A2000305,2000-10-31,250m_16_days_NDVI,0.39,0.1476,0.8177,492.4955,0.6701,0.4642,0.0183,0.1353,1089,1061,97.43,2015139075146
A2000321,2000-11-16,250m_16_days_NDVI,F,0.0603,0.8433,104.5476,0.783,0.4182,0.0188,0.137,1089,250,22.96,2015139221836
A2000337,2000-12-02,250m_16_days_NDVI,0.379,0.1097,0.9356,325.9199,0.8259,0.4428,0.0156,0.1248,1089,736,67.58,2015140091629
